usia,pekerjaan,status_pernikahan,pendidikan,saldo_rekening,kategori_saldo,punya_kpr,punya_pinjaman,pernah_gagal_bayar,metode_penawaran,periode_penawaran,frekuensi_kontak,durasi_interaksi_detik,pernah_ditawari_sebelumnya,hasil_penawaran_sebelumnya,respon_penawaran_deposito,lama_nasabah_tahun,segmen_nasabah
56,tidak_bekerja,menikah,sd,2757691,rendah,tidak,tidak,tidak,whatsapp,Jul,2,75,ya,berhasil,0,8,loyal
46,wiraswasta,lajang,sma,5531440,menengah,tidak,tidak,tidak,telepon,Des,1,149,tidak,tidak_ada,0,19,loyal
32,pns,menikah,sma,17308773,menengah,tidak,tidak,tidak,whatsapp,Apr,2,99,tidak,tidak_ada,1,4,existing
60,karyawan,menikah,d3,3844860,rendah,tidak,tidak,tidak,telepon,Jan,2,212,ya,gagal,0,11,loyal
25,karyawan,cerai,smp,38608410,menengah,tidak,ya,tidak,email,Agu,3,78,tidak,tidak_ada,0,12,loyal
38,karyawan,menikah,sma,23756669,menengah,tidak,tidak,tidak,telepon,Nov,4,621,tidak,tidak_ada,0,11,loyal
56,karyawan,lajang,sma,37955788,menengah,ya,tidak,tidak,whatsapp,Nov,3,124,tidak,tidak_ada,0,17,loyal
36,karyawan,lajang,s2,6027289,menengah,ya,ya,tidak,whatsapp,Jun,3,177,tidak,tidak_ada,0,12,loyal
40,karyawan,menikah,s2,20796162,menengah,ya,tidak,tidak,whatsapp,Okt,3,425,ya,gagal,0,17,loyal
28,pns,menikah,sma,8481712,menengah,tidak,ya,tidak,telepon,Jul,2,124,tidak,tidak_ada,0,2,existing
28,karyawan,menikah,smp,14959662,menengah,tidak,ya,tidak,email,Des,1,31,tidak,tidak_ada,1,8,loyal
41,wiraswasta,menikah,sma,7590588,menengah,tidak,tidak,tidak,whatsapp,Des,5,148,ya,gagal,0,4,existing
53,wiraswasta,menikah,sma,21451035,menengah,tidak,tidak,tidak,email,Jan,1,153,tidak,tidak_ada,0,11,loyal
57,wiraswasta,menikah,s1,6103022,menengah,ya,ya,tidak,whatsapp,Sep,2,680,ya,gagal,0,1,existing
41,wiraswasta,lajang,sma,17554577,menengah,tidak,tidak,tidak,whatsapp,Nov,1,80,tidak,tidak_ada,0,2,existing
20,karyawan,lajang,sma,2672561,rendah,tidak,ya,tidak,whatsapp,Mar,3,99,tidak,tidak_ada,0,1,existing
39,karyawan,cerai,d3,71917851,tinggi,ya,ya,tidak,whatsapp,Jun,2,334,tidak,tidak_ada,0,3,existing
19,pns,menikah,smp,14540186,menengah,tidak,tidak,tidak,whatsapp,Agu,6,37,tidak,tidak_ada,0,2,existing
41,buruh,menikah,d3,5640030,menengah,ya,ya,tidak,email,Des,2,73,tidak,tidak_ada,0,12,loyal
61,karyawan,menikah,sma,34208267,menengah,tidak,ya,tidak,telepon,Feb,2,111,tidak,tidak_ada,0,8,loyal
47,karyawan,lajang,s1,5052184,menengah,ya,ya,tidak,telepon,Jan,1,217,tidak,tidak_ada,0,4,existing
55,tidak_bekerja,menikah,smp,1945988,rendah,tidak,tidak,tidak,whatsapp,Jun,5,89,tidak,tidak_ada,0,2,existing
19,karyawan,lajang,sma,18663059,menengah,tidak,ya,tidak,whatsapp,Jun,1,36,tidak,tidak_ada,0,13,loyal
38,wiraswasta,menikah,s1,23412669,menengah,ya,tidak,tidak,telepon,Sep,5,316,ya,gagal,0,15,loyal
50,karyawan,menikah,sma,8775562,menengah,tidak,tidak,tidak,whatsapp,Mei,1,452,tidak,tidak_ada,0,14,loyal
29,karyawan,menikah,s1,23740318,menengah,tidak,tidak,tidak,telepon,Mar,4,1112,tidak,tidak_ada,0,16,loyal
39,wiraswasta,menikah,d3,27271807,menengah,tidak,ya,tidak,email,Mei,2,30,tidak,tidak_ada,1,13,loyal
61,wiraswasta,menikah,s1,41661326,menengah,tidak,ya,tidak,email,Jul,6,21,tidak,tidak_ada,0,9,loyal
42,karyawan,menikah,sma,21912100,menengah,ya,ya,tidak,whatsapp,Feb,5,323,tidak,tidak_ada,0,5,loyal
44,wiraswasta,menikah,smp,10765833,menengah,ya,tidak,tidak,email,Nov,2,47,tidak,tidak_ada,0,3,existing
59,buruh,menikah,s1,6329084,menengah,tidak,tidak,tidak,whatsapp,Agu,3,121,tidak,tidak_ada,0,0,baru
45,wiraswasta,lajang,s1,3357868,rendah,tidak,tidak,tidak,whatsapp,Nov,3,448,tidak,tidak_ada,1,13,loyal
33,karyawan,lajang,sma,8789672,menengah,tidak,ya,tidak,whatsapp,Apr,1,120,ya,gagal,0,5,loyal
32,wiraswasta,lajang,sma,14524861,menengah,tidak,tidak,tidak,whatsapp,Feb,3,20,tidak,tidak_ada,0,14,loyal
